225 contests
rank	name	rating	participations
170	layor	2566.639798690097	100
171	lddlinan	2565.8329378922704	83
172	szfck	2564.796903772992	60
173	XBB_HOME	2564.7723109096805	121
174	zcgzcgzcg	2563.3661712255375	7
175	Jy_Tan	2562.755253575628	75
176	ustcsiwei88	2561.9525722074995	60
177	YouSiki	2561.6404448026174	13
178	besieger	2560.352084755528	13
179	CaoRui	2556.6216402507835	22
180	mongsiry013	2555.253170828796	35
181	happyleetcode	2555.1285386409145	43
182	tylerwang	2554.90513030312	104
183	raincoat911	2554.8625695297906	83
184	ZihanWang98	2554.668439024593	34
185	luxcaelestis	2554.285496990714	6
186	sshang	2552.648960720141	97
187	PKUGoodSpeed	2552.388207900571	34
188	azala	2551.87465083517	66
189	5lipper	2547.470373631559	39
190	mengpq	2546.4078113319765	39
191	TakahiroKarasawa	2544.7690206501634	13
192	lydxlx	2543.9192737908656	41
193	keymoon	2543.325506266708	15
194	ShidaLei	2543.17100656581	83
195	newman1	2542.174082495967	8
196	hhhyyyfff	2541.2480885778955	20
197	9am	2540.0309747909714	28
198	albaniliu	2539.778980363063	39
199	endlesscheng	2539.494223623722	33
200	Dshawn	2539.3330429261473	9
201	sammochen	2538.483212253577	13
202	ahyangyi	2535.7202667122087	6
203	fuwutu	2535.191682260699	28
204	chensuim	2533.245515266781	69
205	yaqizhang	2532.46806235903	39
206	coder206	2532.2477621826683	85
207	学徒	2530.2868085544424	31
208	vipjml	2530.1059440361532	32
209	hwhf6699	2529.0800840243514	51
210	ben100	2528.7891252653403	22
211	gerwang	2528.7010972447238	15
212	tinylic	2527.8296399112187	34
213	henry15	2526.422132905024	12
214	ADJA	2524.856197385332	13
215	pr3pony	2523.645316204299	16
216	maxhwardg	2523.5597492193383	27
217	Charlesna	2522.1202240431116	89
218	firiexp	2519.9221062536294	14
219	mcginn	2518.939735034164	51
220	fuzhe	2518.4368655184653	19
221	hamayanhamayan	2517.7012047598637	32
222	zhymaoiing	2517.4230417099375	63
223	kai-chieh	2516.7006920682466	16
224	mzchen	2515.9129657213966	156
225	ZhuolinYang	2515.0532018026693	11
226	suspicious-colden	2513.0994309981666	3
227	nguyen_hoanh	2513.0666399334555	46
228	chauncey95	2512.716242110449	32
229	hanhsienhuang	2512.132284843811	49
230	mihaild	2511.82448849036	7
231	lz437	2511.747068847603	44
